epoch,accuracy,accuracy_percent
1,0.691,69.1
2,0.7676,76.75999999999999
3,0.8067,80.67
4,0.8246,82.46
5,0.8462,84.61999999999999
6,0.8517,85.17
7,0.8618,86.18
8,0.8716,87.16000000000001
9,0.8745,87.45
10,0.8791,87.91
11,0.882,88.2
12,0.8843,88.42999999999999
13,0.8768,87.68
14,0.884,88.4
15,0.8833,88.33
16,0.8833,88.33
17,0.882,88.2
18,0.8872,88.72
19,0.8856,88.56
20,0.8856,88.56
21,0.8882,88.82
22,0.8849,88.49000000000001
23,0.8875,88.75
24,0.8843,88.42999999999999
25,0.8866,88.66000000000001
26,0.8869,88.69
27,0.8895,88.94999999999999
28,0.8862,88.62
29,0.8882,88.82
30,0.8895,88.94999999999999
31,0.8875,88.75
32,0.8872,88.72
33,0.8882,88.82
34,0.8892,88.92
35,0.8875,88.75
36,0.8898,88.98
37,0.8895,88.94999999999999
38,0.8892,88.92
39,0.8885,88.85
40,0.8898,88.98
41,0.8915,89.14999999999999
42,0.8895,88.94999999999999
43,0.8911,89.11
44,0.8911,89.11
45,0.8902,89.02
46,0.8911,89.11
47,0.8911,89.11
48,0.8895,88.94999999999999
49,0.8902,89.02
50,0.8908,89.08
51,0.8885,88.85
52,0.8895,88.94999999999999
53,0.8898,88.98
54,0.8902,89.02
55,0.8911,89.11
56,0.8898,88.98
57,0.8915,89.14999999999999
58,0.8911,89.11
59,0.8905,89.05
60,0.8892,88.92
